Eta-values | Average | Median | Maximum | Fraction of functionally trained NN's
('10', '10') | 0.688806629146709 | 0.7426134386072941 | 0.7972904916372461 | 1.0
('10', '1') | 0.6208938880740561 | 0.7598682622530797 | 0.7931562347453809 | 1.0
('10', '50') | 0.6800069394984628 | 0.7372196372479055 | 0.7996573504695549 | 1.0
('100', '1') | -0.007316145646089526 | -0.0015170285315764254 | -6.968662580320029e-08 | 0.9375
('50', '1') | -0.0059464507549309075 | -0.0003065302258260516 | -4.494689065381863e-10 | 0.9791666666666666
('None', '0.1') | 0.8209819028732206 | 0.8740753823562255 | 0.9256285280996247 | 0.9433333333333334
('None', '0.01') | 0.7862232241245476 | 0.736666682287435 | 0.8845434703682504 | 1.0
('None', '0.001') | 0.6462759807923177 | 0.8103257336077 | 0.8448107373349013 | 1.0

Lambda-value | score
1.0 | 0.9225896069849387
0.9111627561154892 | 0.9274487864662625
0.8302175681319746 | 0.9276899420000599
0.7564633275546289 | 0.9286435554349709
0.6892612104349697 | 0.9314515557612852
0.5214008287999684 | 0.9323744677251372
0.5722367659350217 | 0.9332627327839935
0.6280291441834253 | 0.9364753597864509
0.47508101621027965 | 0.9374426950878104
0.43287612810830584 | 0.9388125013084448
0.3944206059437655 | 0.9393224943924708
0.29836472402833386 | 0.9398414161748428
0.32745491628777285 | 0.939846679216612
0.3593813663804627 | 0.9400502136094622
0.271858824273294 | 0.9421803432454282
0.24770763559917108 | 0.9446828971516044
0.20565123083486508 | 0.9459327322887351
0.17073526474706904 | 0.9471447899888554
0.1873817422860384 | 0.9473351952328587
0.22570197196339198 | 0.9485658452009571
0.15556761439304714 | 0.9498794817960129
0.12915496650148836 | 0.9502390278258523
0.1417474162926805 | 0.9508914862562793
0.10722672220103231 | 0.9519059286700303
0.11768119524349982 | 0.9523972905119776
0.09770099572992251 | 0.9525660486514576
0.08111308307896868 | 0.9527882658412856
0.08902150854450383 | 0.9538905169579885
0.06734150657750822 | 0.954840338459377
0.05590810182512223 | 0.9556255095365904
0.07390722033525775 | 0.9560341589991567
0.050941380148163774 | 0.9570761019861839
0.06135907273413173 | 0.9576392109663391
0.03853528593710527 | 0.9585989553265666
0.02009233002565047 | 0.9586929860308057
0.029150530628251757 | 0.960160039413507
0.042292428743894966 | 0.9601900670460892
0.026560877829466853 | 0.9604931566164445
0.022051307399030443 | 0.9606470115626156
0.01519911082952933 | 0.9607250776638528
0.046415888336127774 | 0.9608247813909041
0.02420128264794381 | 0.9609519181174137
0.03511191734215131 | 0.9614154964365246
0.031992671377973826 | 0.9618490586347587
0.01830738280295368 | 0.9621380912576263
0.016681005372000582 | 0.9631857263382421
0.010476157527896646 | 0.9633573512611328
0.013848863713938724 | 0.9636607573676347
0.012618568830660197 | 0.9647189904414826
0.008697490026177826 | 0.9647572708105018
0.007924828983539169 | 0.9652339074462757
0.0049770235643321085 | 0.965313946596835
0.005994842503189409 | 0.9653567331988796
0.011497569953977356 | 0.965839727317639
0.006579332246575676 | 0.9662470629780677
0.009545484566618337 | 0.9664281447554895
0.002364489412645407 | 0.9665875768389578
0.007220809018385464 | 0.9666820060918365
0.005462277217684337 | 0.9667182632163868
0.0019630406500402704 | 0.966930419528824
0.0031257158496882354 | 0.967286611823909
0.0034304692863149156 | 0.9673444484885642
0.002154434690031882 | 0.9673842424351483
0.0012328467394420659 | 0.9674978758099526
0.0025950242113997346 | 0.9677513449025047
0.004534878508128582 | 0.9678123608542984
0.004132012400115334 | 0.9678349681508284
0.0037649358067924675 | 0.9680183667205112
0.0017886495290574333 | 0.9682744831019153
0.002848035868435799 | 0.9690316899355649
0.000774263682681127 | 0.9690529758549994
0.0008497534359086438 | 0.9691264452115821
0.0016297508346206436 | 0.9693953034606468
0.0013530477745798061 | 0.9695068077968758
0.0007054802310718639 | 0.9695994253078316
0.0005336699231206307 | 0.9697395392186755
0.0011233240329780265 | 0.970324255131561
0.0009326033468832189 | 0.9706054213244408
0.0010235310218990258 | 0.9708719299843719
0.0004037017258596554 | 0.9711757845384841
0.0005857020818056661 | 0.9713094739104277
0.00048626015800653485 | 0.9714287821612466
0.0003351602650938841 | 0.9718870887991886
0.0006428073117284319 | 0.9720491070914948
0.0014849682622544635 | 0.972148495228324
0.00036783797718286304 | 0.9723005294778325
0.00030538555088334125 | 0.9726521951939457
0.0001747528400007683 | 0.9731230138678219
0.0002535364493970109 | 0.9731597275877699
0.00021049041445120198 | 0.9732652647049009
0.0002310129700083158 | 0.9732835774739281
0.00013219411484660288 | 0.973414668162831
0.00044306214575838776 | 0.9734281975563938
0.0002782559402207123 | 0.9735911847934435
0.00015922827933410907 | 0.9736204594946919
0.00010974987654930556 | 0.9737593129964575
0.00014508287784959387 | 0.9738136461134224
0.0001 | 0.9746802961370072
0.00019179102616724867 | 0.9747017412243026
0.00012045035402587811 | 0.9748844896087238
0.0 | 0.9790874938206069
('O', 'L', 'S') | 0.9804543304851021
