eta | Average | Median | Maximum | Fraction of functionally trained SGD's
(1e-05, ('None', 1.0)) | -220776.5429013403 | -0.0151998478980488 | 0.8614433483205095 | 0.008928571428571428
(1e-05, ('None', 0.1)) | -153140.2988607092 | -0.013148199824204143 | 0.8840281108934686 | 0.011904761904761904
(1e-05, ('None', 0.01)) | -95293.42445621615 | -0.05849266448471129 | 0.7685212205952725 | 0.011904761904761904
(1e-05, ('None', 0.001)) | -6190.429154895496 | -0.5665505315705005 | 0.5610051295577023 | 0.011904761904761904
(1e-05, ('None', 0.0001)) | -99.03565559728833 | -1.602411914554237 | 0.15708030784913274 | 0.011904761904761904
(1e-05, ('None', 1e-05)) | -19.734343856015684 | -1.7605522462589596 | -1.0244534740855298 | 0.011904761904761904
(1e-05, ('None', 1e-06)) | -18.87897992984125 | -1.8163211026353163 | -1.465058971036064 | 0.011904761904761904
(1e-05, (1.0, 1.0)) | -50281.51003116872 | -0.7789659584553348 | 0.5904824261534402 | 0.011904761904761904
(1e-05, (1.0, 10.0)) | -27845.22738051831 | -1.1145317865394446 | 0.5094550077904937 | 0.011904761904761904
(1e-05, (1.0, 100.0)) | -11269.979111079732 | -1.2648106861974167 | 0.4369187215843887 | 0.011904761904761904
(1e-05, (1.0, 1000.0)) | -1875.6122528614012 | -1.5326705391991577 | 0.2638052337703457 | 0.011904761904761904
(1e-05, (1.0, 10000.0)) | -78.79467836700498 | -1.6694628562153588 | -0.028396931556246827 | 0.011904761904761904
(1e-05, (1.0, 100000.0)) | -17.140195158806467 | -1.7472752692192441 | -1.242635688835957 | 0.011904761904761904
(1e-05, (1.0, 1000000.0)) | -17.45096074378821 | -1.8048977967823898 | -1.5034249797576387 | 0.011904761904761904
(1e-06, ('None', 1.0)) | -217509.65762251845 | -0.015763959146049798 | 0.8656814970456769 | 0.008928571428571428
(1e-06, ('None', 0.1)) | -155312.70515563176 | -0.014193912662271614 | 0.8966542358494912 | 0.011904761904761904
(1e-06, ('None', 0.01)) | -92882.44813898097 | -0.055788387053968026 | 0.7516365926653773 | 0.011904761904761904
(1e-06, ('None', 0.001)) | -6123.148903063818 | -0.5986356952289337 | 0.5455270337035297 | 0.011904761904761904
(1e-06, ('None', 0.0001)) | -94.95245544578053 | -1.614895797104661 | 0.09648653823957064 | 0.011904761904761904
(1e-06, ('None', 1e-05)) | -16.56263589283722 | -1.7380157762336976 | -0.9639958898416998 | 0.011904761904761904
(1e-06, ('None', 1e-06)) | -17.758314258830072 | -1.8054509835780068 | -1.282085059626915 | 0.011904761904761904
(1e-06, (1.0, 1.0)) | -50502.8965418558 | -0.8514475651681529 | 0.6206714698627506 | 0.011904761904761904
(1e-06, (1.0, 10.0)) | -27627.455760796427 | -1.0890624400046551 | 0.5060916634033555 | 0.011904761904761904
(1e-06, (1.0, 100.0)) | -11331.612236693383 | -1.2933799972481428 | 0.45256430466316155 | 0.011904761904761904
(1e-06, (1.0, 1000.0)) | -1903.615562057939 | -1.4545767584457059 | 0.3554880078283494 | 0.011904761904761904
(1e-06, (1.0, 10000.0)) | -76.88596092022289 | -1.6756988747301815 | -0.01671972070812507 | 0.011904761904761904
(1e-06, (1.0, 100000.0)) | -19.37507576030846 | -1.7417206948541752 | -1.0880954915760475 | 0.011904761904761904
(1e-06, (1.0, 1000000.0)) | -16.896712965294316 | -1.7927635504930766 | -1.3326345584110675 | 0.011904761904761904
